section,category_ar,category_en,name_ar,name_en,price,image,available
المطبخ,البرجر,Burgers,تشيكن برجر,Chicken Burger,130,/menu-images/50895.jpg,yes
المطبخ,البرجر,Burgers,كرانشي رانش برجر,Crunchy Ranch Burger,140,/menu-images/3070.jpg,yes
المطبخ,البرجر,Burgers,كلاسيك برجر,Classic Burger,160,/menu-images/19388.jpg,yes
المطبخ,البرجر,Burgers,سماش برجر,Smash Burger,170,/menu-images/2149637305.jpg,yes
المطبخ,البرجر,Burgers,مشروم برجر,Mushroom Burger,170,/menu-images/5719.jpg,yes
المطبخ,البرجر,Burgers,فولكانو برجر,Volcano Burger,175,/menu-images/9487.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا مارجريتا - ميديم,Margherita Pizza - Medium,110,/menu-images/170.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا مارجريتا - لارج,Margherita Pizza - Large,120,/menu-images/14476.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا تشيز لافرز - ميديم,Cheese Lovers Pizza - Medium,160,/menu-images/652.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا تشيز لافرز - لارج,Cheese Lovers Pizza - Large,175,/menu-images/11276.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا تشيكن سوبريم - ميديم,Chicken Supreme Pizza - Medium,170,/menu-images/101409.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا تشيكن سوبريم - لارج,Chicken Supreme Pizza - Large,195,/menu-images/9148.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا بيبروني - ميديم,Pepperoni Pizza - Medium,195,/menu-images/4129.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا بيبروني - لارج,Pepperoni Pizza - Large,205,/menu-images/sausage-pizza-served-with-dried-herbs.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا تشيكن بافلو - ميديم,Buffalo Chicken Pizza - Medium,179,/menu-images/1518.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا تشيكن بافلو - لارج,Buffalo Chicken Pizza - Large,200,/menu-images/14196.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا تشيكن باربيكيو - ميديم,Chicken BBQ Pizza - Medium,185,/menu-images/1518_1_.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا تشيكن باربيكيو - لارج,Chicken BBQ Pizza - Large,195,/menu-images/3254.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا كرانشي رانش - ميديم,Crunchy Ranch Pizza - Medium,179,/menu-images/2508.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا كرانشي رانش - لارج,Crunchy Ranch Pizza - Large,200,/menu-images/2148643440.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا فورسيزون - ميديم,Four Seasons Pizza - Medium,174,/menu-images/101784.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا فورسيزون - لارج,Four Seasons Pizza - Large,200,/menu-images/1982.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا سوبر سوبريم - ميديم,Super Supreme Pizza - Medium,200,/menu-images/642.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا سوبر سوبريم - لارج,Super Supreme Pizza - Large,240,/menu-images/687.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا سي فود - ميديم,Seafood Pizza - Medium,260,/menu-images/64790.jpg,yes
المطبخ,البيتزا,Pizza,بيتزا سي فود - لارج,Seafood Pizza - Large,280,/menu-images/443197.jpg,yes
